Economic Benefits,Phosphorus,Inertia,Reliability
0.401648529,-1.124269421,0.998787879,0.8981
0.400482771,-1.150138762,0.99959596,0.9029
0.430400079,-1.391878945,0.997171717,0.8602
0.380359412,-0.929527444,0.991616162,0.9352
0.380599943,-0.925983347,0.992626263,0.935
0.430823577,-1.399798754,0.99989899,0.8578
0.400623585,-1.165108958,0.996767677,0.9045
0.390372731,-1.046080248,0.999494949,0.9185
0.400351983,-1.197608827,0.991414141,0.9056
0.400077921,-1.190976473,0.999393939,0.9047
0.410409171,-1.296871388,0.99979798,0.8893
0.410024089,-1.250725412,0.99030303,0.8912
0.380029451,-0.93442268,0.994646465,0.9354
0.350022494,-0.43944942,0.991111111,0.9833
0.390135159,-1.052488666,0.991919192,0.9209
0.360211641,-0.60150819,0.99979798,0.9652
0.255705097,-0.159739662,0.98989899,1
0.323133287,-0.198452719,0.98989899,1
0.29383434,-0.189140941,1,1
0.231338781,-0.149943075,0.98989899,1
0.351642539,-0.224987486,0.98989899,1
0.315200686,-0.205850162,1,1
0.260065258,-0.16966217,0.99989899,1
0.324261217,-0.215141878,1,1
0.275601847,-0.16903341,0.98989899,1
0.344775394,-0.21573873,0.98989899,1
0.370560659,-0.279210584,0.987575758,0.9885
0.390003395,-0.300371067,0.985959596,0.9741
0.483013724,-0.437403037,0.988080808,0.9073
0.502461239,-0.478866807,0.988181818,0.8914
0.470351832,-0.419993968,0.987171717,0.9171
0.370046257,-0.269705466,0.988383838,0.9851
0.560021909,-0.566520185,0.986161616,0.8531
0.400932035,-0.337473317,0.989191919,0.9653
0.431568129,-0.378460044,0.989090909,0.9453
0.340683374,-0.245617423,1,1
0.541853002,-0.564708072,0.989090909,0.8642
0.370088422,-0.282214355,0.984343434,0.9911
0.350703477,-0.457362949,0.99989899,0.9816
0.460010548,-0.41768163,0.988080808,0.9261
0.360006903,-0.271239525,0.980909091,0.9981
0.420336371,-0.337063553,0.98959596,0.9441
0.350257712,-0.475583427,0.996161616,0.9831
0.500174798,-0.459989411,0.985858586,0.8971
0.500254668,-0.459427822,0.986464646,0.897
0.490746477,-0.464055313,0.988181818,0.9003
0.510767495,-0.47984107,0.986060606,0.8878
0.562011054,-0.564215685,0.987474747,0.8513
0.400060133,-0.319662679,0.985454545,0.9663
0.50169364,-0.481108744,0.988080808,0.8922
0.450744047,-0.396560824,0.988282828,0.9298
0.510620252,-0.496249474,0.985353535,0.8901
0.490114952,-0.459734445,0.986161616,0.9021
0.450397909,-0.390493716,0.981111111,0.9351
0.420091937,-0.33375579,0.988282828,0.9533
0.39065022,-0.293694276,0.988282828,0.9733
0.450025858,-0.396869702,0.987575758,0.9303
0.490220251,-0.459803993,0.987272727,0.9018
0.410006448,-0.335013344,0.988686869,0.9584
0.390024892,-0.289498538,0.989090909,0.9727
0.520089057,-0.518909795,0.983535354,0.8821
0.52104459,-0.499240433,0.983636364,0.8795
0.420593461,-0.340911705,0.98989899,0.9451
0.48140151,-0.444776297,0.98989899,0.9003
0.530368745,-0.528921102,0.98989899,0.8656
0.520833476,-0.506532506,0.98989899,0.8721
0.370299258,-0.273591346,0.989393939,0.9868
0.570041437,-0.568909335,0.981414141,0.8502
0.430029293,-0.370193215,0.982424242,0.9472
0.370173827,-0.258644701,0.986565657,0.9907
0.41025352,-0.360739078,0.989292929,0.9572
0.400042273,-0.309962601,0.98989899,0.9538
0.56000528,-0.58257741,0.983636364,0.8542
0.410126952,-0.329707462,0.98989899,0.9452
0.560147606,-0.58477946,0.989191919,0.8531
0.530342356,-0.512567995,0.982020202,0.8784
0.530779896,-0.523222333,0.987272727,0.8725
0.510497827,-0.479994927,0.985454545,0.8884
0.490147746,-0.444527282,0.982222222,0.9064
0.540870354,-0.53789838,0.98989899,0.8522
0.530789791,-0.519466654,0.98989899,0.8613
0.331923081,-0.22570197,1,1
0.49073969,-0.459059149,0.989191919,0.8903
0.502073916,-0.502542373,0.989393939,0.8922
0.421920389,-1.290985344,0.995555556,0.8648
0.520143722,-0.522338052,0.989090909,0.8811
0.560123169,-0.567008686,0.936464646,0.8543
0.470512435,-0.436178,0.986363636,0.9181
0.470244883,-0.438987179,0.989090909,0.9172
0.430561828,-0.356899803,0.987373737,0.9452
0.500115145,-0.475620112,0.985050505,0.8981
0.430082767,-1.440745631,0.992727273,0.8613
0.534355819,-0.539816193,0.988282828,0.8713
0.380326363,-0.292121269,0.980505051,0.9831
0.530450834,-0.542362898,0.988484848,0.8732
0.430239933,-1.400740972,0.99010101,0.8622
0.370013678,-0.717020006,0.991111111,0.9476
0.390042526,-1.018625838,0.997373737,0.9165
0.380119829,-0.864570436,0.997070707,0.9302
0.370812235,-0.732169908,0.993030303,0.9462
0.370286799,-0.723964735,0.992525253,0.9471
0.380028075,-0.851054284,0.992525253,0.9334
0.370598199,-0.757557888,1,0.9447
0.380098624,-0.85516241,0.994141414,0.9317
0.370198741,-0.729847824,0.995656566,0.9457
0.370193388,-0.730739682,0.996262626,0.9447
0.361580966,-0.585778529,0.991313131,0.9636
0.370158225,-0.744867588,0.993131313,0.9479
0.360047367,-0.589931779,0.996060606,0.9607
0.360043401,-0.575577778,0.991313131,0.9628
0.370100752,-0.73914739,0.991717172,0.9489
0.360066598,-0.568402831,0.99020202,0.9635
0.360405785,-0.587847508,0.994242424,0.9616
0.390132761,-1.029967652,0.993131313,0.9191
0.360292499,-0.59762666,0.998282828,0.9598
0.38012099,-0.899323006,0.990707071,0.9352
0.360054679,-0.607797293,0.991515152,0.9664
0.380282858,-0.906789811,0.991515152,0.9342
0.235659741,-0.158368224,1,1
0.560269664,-0.574544285,0.981010101,0.8541
0.490311095,-0.479187621,0.988080808,0.9011
0.550240893,-0.565037442,0.989494949,0.861
0.480043225,-0.439276427,0.98989899,0.8991
0.492903788,-0.458855031,0.988181818,0.8995
0.510322293,-0.484005844,0.98979798,0.8802
0.380136038,-0.299900452,0.989090909,0.9821
0.525208703,-0.499853421,0.985454545,0.8787
0.47101298,-0.419557106,0.98959596,0.9074
0.370323424,-0.256551852,0.98969697,0.9814
0.370214186,-0.277898173,0.983131313,0.9911
0.370159138,-0.291266754,0.987171717,0.9908
0.541241515,-0.535815676,0.983535354,0.8702
0.540402085,-0.528273311,0.982323232,0.8702
0.500047252,-0.46580039,0.983232323,0.8981
0.380087663,-0.28985691,0.989191919,0.9786
0.38012874,-0.269693691,0.988484848,0.9811
0.430804857,-0.359843198,0.98989899,0.9364
0.520968967,-0.518999422,0.988282828,0.8811
0.510124362,-0.498301922,0.988181818,0.8895
0.390411618,-0.316187319,0.989393939,0.9732
0.430134081,-1.458269445,0.993030303,0.8613
0.430256811,-1.452241294,0.999393939,0.8609
0.410382209,-1.230988753,0.995252525,0.8891
0.410222592,-1.249036089,0.999191919,0.8885
0.400566307,-1.130802703,1,0.9015
0.420015385,-1.285129334,0.994444444,0.8771
0.411918464,-1.224137668,0.997777778,0.888
0.420494068,-1.315521876,0.99969697,0.8755
0.410804151,-1.206246963,0.992020202,0.8898
0.401108988,-1.128654288,0.996363636,0.9038
0.430669746,-1.42302895,0.999494949,0.8594
0.481779295,-0.438948698,0.987070707,0.9081
0.520877797,-0.502490057,0.987070707,0.8803
0.370491147,-0.829683009,1,0.9501
0.35104464,-0.445025474,1,0.9805
0.390045611,-1.02196465,1,0.9176
0.451824301,-0.399405042,0.98989899,0.9193
0.450034098,-0.401847796,0.98989899,0.9203
0.481291522,-0.447771741,0.983434343,0.9101
0.410508585,-0.330904572,0.984343434,0.9628
0.370181943,-0.286144223,0.98959596,0.9875
0.510190731,-0.502061427,0.989090909,0.8891
0.43105395,-0.354536344,0.988585859,0.9443
0.333231376,-0.207630915,0.98989899,1
0.440502724,-0.398638534,0.989191919,0.9373
0.311420489,-0.189787088,0.98989899,1
0.520571692,-0.503370966,0.986363636,0.8813
0.450259907,-0.419397156,0.989191919,0.9291
0.440460272,-0.378306864,0.988585859,0.9365
0.370444313,-0.268991717,0.989393939,0.9843
0.40063341,-0.312501789,0.989090909,0.9641
0.550060669,-0.559979114,0.987070707,0.8613
0.561627436,-0.579581474,0.987070707,0.853
0.461375737,-0.439956473,0.989191919,0.9203
0.410054525,-0.333248179,0.989393939,0.9564
0.44003432,-0.378474437,0.941818182,0.9381
0.460615809,-0.397272373,0.988282828,0.9252
0.500597102,-0.461645509,0.987575758,0.8971
0.472279752,-0.417771127,0.988181818,0.9164
0.541114985,-0.524139885,0.987171717,0.8691
0.57041187,-0.571137583,0.982424242,0.8503
0.380607791,-0.274674783,0.98989899,0.9721
0.480865095,-0.441476062,0.985656566,0.9092
0.340056991,-0.239341806,0.991111111,1
0.360092499,-0.246498518,0.989090909,0.9924
0.55047463,-0.561415525,0.988181818,0.8614
0.440159226,-0.379392298,0.98989899,0.9281
0.320002986,-0.209976739,0.996060606,1
0.440769454,-0.378803515,0.987474747,0.9373
0.380006674,-0.965050313,0.999090909,0.9341
0.410339104,-1.238648572,1,0.8854
0.410388411,-1.218575266,0.999494949,0.8828
0.390013227,-0.318996731,0.988282828,0.9741
0.215312814,-0.14998687,1,1
0.390536703,-1.014175055,0.999292929,0.9154
0.400059963,-1.123059026,0.990606061,0.9055
0.380456827,-0.851137543,0.990707071,0.9342
0.390170507,-0.986164269,0.991515152,0.9199
0.400557682,-1.117606183,0.990808081,0.9047
0.401008804,-1.177428681,1,0.9034
0.390256246,-0.995891403,0.995252525,0.9179
0.380977343,-0.881997346,1,0.9338
0.380433282,-0.871923332,0.99959596,0.9307
0.40040778,-1.144488774,0.998686869,0.9024
0.380586722,-0.860972577,0.995050505,0.9324
0.371533718,-0.77843975,0.999292929,0.9483
0.45006381,-0.399581462,0.985555556,0.9322
0.450015046,-0.398206486,0.986464646,0.9318
0.41013695,-0.329447601,0.983131313,0.9631
0.450141502,-0.37989063,0.972929293,0.9344
0.45008884,-0.381064917,0.983232323,0.9344
0.400196061,-0.314810066,0.988080808,0.9651
0.54034484,-0.541622988,0.984141414,0.8703
0.530221358,-0.53987541,0.987070707,0.8731
0.351143629,-0.463817157,0.999393939,0.983
0.470095296,-0.426143452,0.983737374,0.9182
0.400216989,-0.322647668,0.984949495,0.9671
0.460177107,-0.402670061,0.984343434,0.9261
0.360030176,-0.258840151,0.98969697,0.9959
0.420207234,-0.338761781,0.985757576,0.9541
0.380376674,-0.278693937,0.986767677,0.9822
0.430042778,-0.363247764,0.983131313,0.9462
0.420008075,-0.357321135,0.989090909,0.9541
0.520444417,-0.503265855,0.962828283,0.8827
0.530042165,-0.505347904,0.981010101,0.8781
0.360077751,-0.264937824,0.98989899,0.9973
0.490778684,-0.463446812,0.984242424,0.9036
0.350448493,-0.446645135,0.990707071,0.9846
0.294901928,-0.179408506,0.98989899,1
0.360388853,-0.652516667,0.99020202,0.9677
0.370375048,-0.767806994,0.99969697,0.9463
0.550104579,-0.559445001,0.985353535,0.8621
0.360021926,-0.657397531,0.997575758,0.9661
0.440188087,-0.384237623,0.985252525,0.9381
0.530040185,-0.522959681,0.986666667,0.8744
0.470680121,-0.422229711,0.98989899,0.9081
0.550541294,-0.548065092,0.98979798,0.8523
0.510532029,-0.483407377,0.986464646,0.8891
0.550728712,-0.544984542,0.986565657,0.8611
0.512045737,-0.482036901,0.987171717,0.8881
0.553117189,-0.543843592,0.987373737,0.8596
0.370060928,-0.26751142,0.982828283,0.9911
0.540378368,-0.547777998,0.98989899,0.8588
0.461339709,-0.401631819,0.98979798,0.9161
0.46043856,-0.399832218,0.989494949,0.9159
0.500252339,-0.46332034,0.989191919,0.8882
0.410286753,-0.339761825,0.986666667,0.9598
0.490091952,-0.464723919,0.989191919,0.8935
0.240041867,-0.159944339,0.992424242,1
0.530147915,-0.508804841,0.983030303,0.878
0.430130996,-0.373907544,0.986060606,0.9462
0.402015308,-0.309747112,0.988787879,0.9632
0.490957717,-0.479772921,0.989393939,0.9007
0.480470807,-0.459043591,0.989393939,0.9091
0.50727994,-0.499825913,0.989191919,0.8901
0.530659768,-0.542501949,0.989090909,0.8725
0.275598729,-0.177939003,1,1
0.370770443,-0.751871245,0.996161616,0.9491
0.4100577,-0.319978543,0.974646465,0.9624
0.510064602,-0.488911933,0.983030303,0.8902
0.30522018,-0.1974136,1,1
