Economic Benefits,Phosphorus,Inertia,Reliability,EB>0.2,Rel>0.95,Both 
0.215312814,-0.14998687,1,1,0.444,0.686,0.157
0.231338781,-0.149943075,0.98989899,1,0.581,0.654,0.244
0.235659741,-0.158368224,1,1,0.473,0.686,0.185
0.240041867,-0.159944339,0.992424242,1,0.482,0.686,0.193
0.255705097,-0.159739662,0.98989899,1,0.589,0.679,0.278
0.260065258,-0.16966217,0.99989899,1,0.511,0.686,0.223
0.275598729,-0.177939003,1,1,0.538,0.685,0.248
0.275601847,-0.16903341,0.98989899,1,0.601,0.683,0.301
0.29383434,-0.189140941,1,1,0.575,0.685,0.284
0.294901928,-0.179408506,0.98989899,1,0.628,0.684,0.329
0.30522018,-0.1974136,1,1,0.6,0.685,0.308
0.311420489,-0.189787088,0.98989899,1,0.671,0.685,0.371
0.315200686,-0.205850162,1,1,0.626,0.682,0.332
0.320002986,-0.209976739,0.996060606,1,0.646,0.681,0.348
0.323133287,-0.198452719,0.98989899,1,0.696,0.685,0.396
0.324261217,-0.215141878,1,1,0.659,0.679,0.359
0.331923081,-0.22570197,1,1,0.681,0.677,0.378
0.333231376,-0.207630915,0.98989899,1,0.715,0.685,0.415
0.340056991,-0.239341806,0.991111111,1,0.71,0.673,0.402
0.340683374,-0.245617423,1,1,0.719,0.672,0.41
0.344775394,-0.21573873,0.98989899,1,0.766,0.684,0.459
0.350022494,-0.43944942,0.991111111,0.9833,0.756,0.635,0.403
0.350257712,-0.475583427,0.996161616,0.9831,0.764,0.635,0.412
0.350448493,-0.446645135,0.990707071,0.9846,0.756,0.627,0.398
0.350703477,-0.457362949,0.99989899,0.9816,0.753,0.636,0.403
0.35104464,-0.445025474,1,0.9805,0.745,0.62,0.381
0.351143629,-0.463817157,0.999393939,0.983,0.762,0.635,0.409
0.351642539,-0.224987486,0.98989899,1,0.824,0.673,0.502
0.360006903,-0.271239525,0.980909091,0.9981,0.924,0.567,0.501
0.360021926,-0.657397531,0.997575758,0.9661,0.743,0.612,0.372
0.360030176,-0.258840151,0.98969697,0.9959,0.932,0.522,0.459
0.360043401,-0.575577778,0.991313131,0.9628,0.735,0.595,0.352
0.360047367,-0.589931779,0.996060606,0.9607,0.735,0.59,0.345
0.360054679,-0.607797293,0.991515152,0.9664,0.741,0.61,0.368
0.360066598,-0.568402831,0.99020202,0.9635,0.735,0.599,0.355
0.360077751,-0.264937824,0.98989899,0.9973,0.903,0.585,0.497
0.360092499,-0.246498518,0.989090909,0.9924,0.972,0.213,0.192
0.360211641,-0.60150819,0.99979798,0.9652,0.745,0.616,0.377
0.360292499,-0.59762666,0.998282828,0.9598,0.735,0.589,0.345
0.360388853,-0.652516667,0.99020202,0.9677,0.755,0.62,0.391
0.360405785,-0.587847508,0.994242424,0.9616,0.733,0.595,0.35
0.361580966,-0.585778529,0.991313131,0.9636,0.741,0.609,0.367
0.370013678,-0.717020006,0.991111111,0.9476,0.736,0.595,0.353
0.370046257,-0.269705466,0.988383838,0.9851,0.974,0.198,0.177
0.370060928,-0.26751142,0.982828283,0.9911,0.941,0.51,0.458
0.370088422,-0.282214355,0.984343434,0.9911,0.884,0.656,0.542
0.370100752,-0.73914739,0.991717172,0.9489,0.737,0.596,0.355
0.370158225,-0.744867588,0.993131313,0.9479,0.737,0.591,0.348
0.370159138,-0.291266754,0.987171717,0.9908,0.881,0.658,0.543
0.370173827,-0.258644701,0.986565657,0.9907,0.957,0.401,0.363
0.370181943,-0.286144223,0.98959596,0.9875,0.929,0.547,0.481
0.370193388,-0.730739682,0.996262626,0.9447,0.735,0.587,0.345
0.370198741,-0.729847824,0.995656566,0.9457,0.737,0.589,0.347
0.370214186,-0.277898173,0.983131313,0.9911,0.876,0.658,0.538
0.370286799,-0.723964735,0.992525253,0.9471,0.736,0.594,0.351
0.370299258,-0.273591346,0.989393939,0.9868,0.955,0.427,0.386
0.370323424,-0.256551852,0.98969697,0.9814,0.98,0.15,0.133
0.370375048,-0.767806994,0.99969697,0.9463,0.738,0.613,0.367
0.370444313,-0.268991717,0.989393939,0.9843,0.974,0.184,0.162
0.370491147,-0.829683009,1,0.9501,0.747,0.615,0.379
0.370560659,-0.279210584,0.987575758,0.9885,0.941,0.482,0.431
0.370598199,-0.757557888,1,0.9447,0.731,0.595,0.348
0.370770443,-0.751871245,0.996161616,0.9491,0.739,0.604,0.361
0.370812235,-0.732169908,0.993030303,0.9462,0.736,0.594,0.352
0.371533718,-0.77843975,0.999292929,0.9483,0.754,0.619,0.388
0.380006674,-0.965050313,0.999090909,0.9341,0.758,0.618,0.392
0.380028075,-0.851054284,0.992525253,0.9334,0.741,0.589,0.351
0.380029451,-0.93442268,0.994646465,0.9354,0.761,0.621,0.395
0.380087663,-0.28985691,0.989191919,0.9786,0.977,0.18,0.161
0.380098624,-0.85516241,0.994141414,0.9317,0.737,0.586,0.347
0.380119829,-0.864570436,0.997070707,0.9302,0.733,0.581,0.343
0.38012099,-0.899323006,0.990707071,0.9352,0.739,0.594,0.354
0.38012874,-0.269693691,0.988484848,0.9811,0.978,0.169,0.153
0.380136038,-0.299900452,0.989090909,0.9821,0.883,0.66,0.545
0.380282858,-0.906789811,0.991515152,0.9342,0.739,0.592,0.352
0.380326363,-0.292121269,0.980505051,0.9831,0.893,0.632,0.534
0.380359412,-0.929527444,0.991616162,0.9352,0.757,0.615,0.388
0.380376674,-0.278693937,0.986767677,0.9822,0.959,0.403,0.367
0.380433282,-0.871923332,0.99959596,0.9307,0.73,0.593,0.347
0.380456827,-0.851137543,0.990707071,0.9342,0.736,0.599,0.357
0.380586722,-0.860972577,0.995050505,0.9324,0.733,0.597,0.351
0.380599943,-0.925983347,0.992626263,0.935,0.754,0.614,0.384
0.380607791,-0.274674783,0.98989899,0.9721,0.973,0.179,0.157
0.380977343,-0.881997346,1,0.9338,0.745,0.612,0.375
0.390003395,-0.300371067,0.985959596,0.9741,0.965,0.351,0.319
0.390013227,-0.318996731,0.988282828,0.9741,0.884,0.659,0.546
0.390024892,-0.289498538,0.989090909,0.9727,0.97,0.21,0.184
0.390042526,-1.018625838,0.997373737,0.9165,0.734,0.581,0.342
0.390045611,-1.02196465,1,0.9176,0.748,0.611,0.376
0.390132761,-1.029967652,0.993131313,0.9191,0.739,0.588,0.349
0.390135159,-1.052488666,0.991919192,0.9209,0.751,0.612,0.38
0.390170507,-0.986164269,0.991515152,0.9199,0.737,0.601,0.361
0.390256246,-0.995891403,0.995252525,0.9179,0.733,0.594,0.351
0.390372731,-1.046080248,0.999494949,0.9185,0.735,0.599,0.355
0.390411618,-0.316187319,0.989393939,0.9732,0.882,0.661,0.544
0.390536703,-1.014175055,0.999292929,0.9154,0.73,0.59,0.342
0.39065022,-0.293694276,0.988282828,0.9733,0.956,0.336,0.299
0.400042273,-0.309962601,0.98989899,0.9538,0.949,0.285,0.235
0.400059963,-1.123059026,0.990606061,0.9055,0.737,0.599,0.359
0.400060133,-0.319662679,0.985454545,0.9663,0.969,0.327,0.3
0.400077921,-1.190976473,0.999393939,0.9047,0.744,0.603,0.368
0.400196061,-0.314810066,0.988080808,0.9651,0.974,0.238,0.217
0.400216989,-0.322647668,0.984949495,0.9671,0.954,0.457,0.415
0.400351983,-1.197608827,0.991414141,0.9056,0.755,0.61,0.383
0.40040778,-1.144488774,0.998686869,0.9024,0.732,0.594,0.35
0.400482771,-1.150138762,0.99959596,0.9029,0.74,0.603,0.364
0.400557682,-1.117606183,0.990808081,0.9047,0.736,0.597,0.355
0.400566307,-1.130802703,1,0.9015,0.73,0.595,0.346
0.400623585,-1.165108958,0.996767677,0.9045,0.749,0.604,0.373
0.40063341,-0.312501789,0.989090909,0.9641,0.974,0.205,0.185
0.400932035,-0.337473317,0.989191919,0.9653,0.883,0.661,0.545
0.401008804,-1.177428681,1,0.9034,0.751,0.612,0.38
