Year,Month,Flow
1930,10,12.8
1930,11,13.7
1930,12,35.5
1931,1,24.9
1931,2,88.4
1931,3,615.4
1931,4,773.7
1931,5,314.3
1931,6,97.3
1931,7,37.6
1931,8,21.1
1931,9,14.5
1931,10,13.9
1931,11,22.6
1931,12,251
1932,1,532.3
1932,2,366.9
1932,3,367.3
1932,4,884.3
1932,5,363
1932,6,45.8
1932,7,73.8
1932,8,28.4
1932,9,13.8
1932,10,272.3
1932,11,488.3
1932,12,106.5
1933,1,120.2
1933,2,81.7
1933,3,571.3
1933,4,622.4
1933,5,151.8
1933,6,48.7
1933,7,21.1
1933,8,142.8
1933,9,100.7
1933,10,108.8
1933,11,207.7
1933,12,236.7
1934,1,289
1934,2,55.9
1934,3,496.1
1934,4,770.7
1934,5,71.9
1934,6,113.7
1934,7,27.9
1934,8,16.1
1934,9,210.2
1934,10,101.1
1934,11,286.3
1934,12,282.7
1935,1,651.5
1935,2,164.3
1935,3,924.5
1935,4,737.4
1935,5,357.1
1935,6,56
1935,7,705.1
1935,8,56.1
1935,9,28.8
1935,10,34.8
1935,11,217.1
1935,12,340
1936,1,179.5
1936,2,94
1936,3,1717
1936,4,607.5
1936,5,193.1
1936,6,42.8
1936,7,18.8
1936,8,16.7
1936,9,15.2
1936,10,45.2
1936,11,324.5
1936,12,376.3
1937,1,702.1
1937,2,251.6
1937,3,273.6
1937,4,957.5
1937,5,292.6
1937,6,205.4
1937,7,64
1937,8,148.7
1937,9,77.7
1937,10,351.6
1937,11,350.2
1937,12,327.7
1938,1,246.5
1938,2,462.6
1938,3,669.5
1938,4,343.7
1938,5,111.7
1938,6,36.8
1938,7,21
1938,8,40.5
1938,9,376.7
1938,10,65.6
1938,11,97
1938,12,464.5
1939,1,143.3
1939,2,639
1939,3,776.1
1939,4,603
1939,5,97.8
1939,6,23.8
1939,7,12.3
1939,8,12.5
1939,9,10.6
1939,10,18.2
1939,11,59.9
1939,12,179.1
1940,1,74.7
1940,2,102.3
1940,3,560
1940,4,1496
1940,5,316.4
1940,6,128.6
1940,7,119.2
1940,8,32.6
1940,9,32.4
1940,10,29.7
1940,11,195.1
1940,12,421
1941,1,183.4
1941,2,99.6
1941,3,280.8
1941,4,967.1
1941,5,86.1
1941,6,33.8
1941,7,51.3
1941,8,36.5
1941,9,13.8
1941,10,11.7
1941,11,22
1941,12,225.6
1942,1,158.4
1942,2,154.3
1942,3,956.4
1942,4,457
1942,5,226.8
1942,6,78.5
1942,7,86.6
1942,8,66.3
1942,9,205.1
1942,10,259.6
1942,11,392.1
1942,12,722.2
1943,1,323.1
1943,2,469.7
1943,3,779.5
1943,4,505.5
1943,5,750.7
1943,6,181.4
1943,7,35.7
1943,8,28.7
1943,9,16.9
1943,10,363.8
1943,11,457.7
1943,12,117.2
1944,1,70.8
1944,2,99.1
1944,3,744.2
1944,4,535.8
1944,5,431
1944,6,216.3
1944,7,48.3
1944,8,26.1
1944,9,28.8
1944,10,80.5
1944,11,149.1
1944,12,325.2
1945,1,266.5
1945,2,410.9
1945,3,1426
1945,4,309.6
1945,5,551.4
1945,6,288.5
1945,7,78.5
1945,8,32.4
1945,9,208.3
1945,10,397.3
1945,11,620.9
1945,12,277.3
1946,1,342.8
1946,2,117.4
1946,3,745.8
1946,4,104.8
1946,5,590.6
1946,6,308
1946,7,170.1
1946,8,67.8
1946,9,50.8
1946,10,245
1946,11,131.6
1946,12,101.2
1947,1,531.3
1947,2,207.5
1947,3,589
1947,4,789.2
1947,5,912
1947,6,359.4
1947,7,233.5
1947,8,100.9
1947,9,57.6
1947,10,26.4
1947,11,168
1947,12,167
1948,1,58.7
1948,2,220.1
1948,3,1194
1948,4,618.3
1948,5,459.6
1948,6,166
1948,7,47.4
1948,8,46.8
1948,9,19.9
1948,10,18.9
1948,11,160.2
1948,12,241.6
1949,1,564.6
1949,2,459
1949,3,326.4
1949,4,391.8
1949,5,178.1
1949,6,43.9
1949,7,16.5
1949,8,15.7
1949,9,27.7
1949,10,30.7
1949,11,90.4
1949,12,356.6
1950,1,511.7
1950,2,194.6
1950,3,810.2
1950,4,847.5
1950,5,195.5
1950,6,172.8
1950,7,52.3
1950,8,74.5
1950,9,327.7
1950,10,91.8
1950,11,415.1
1950,12,621.3
1951,1,458.8
1951,2,609.2
1951,3,746.2
1951,4,487.4
1951,5,109.6
1951,6,141
1951,7,165
1951,8,27.7
1951,9,20.7
1951,10,14.1
1951,11,82.7
1951,12,366.2
1952,1,665.9
1952,2,331.2
1952,3,610
1952,4,481.7
1952,5,323.8
1952,6,83.4
1952,7,137
1952,8,30.2
1952,9,14.2
1952,10,14.6
1952,11,95.5
1952,12,408
1953,1,444.8
1953,2,352.5
1953,3,515.8
1953,4,449.7
1953,5,369.3
1953,6,77.6
1953,7,22.1
1953,8,14
1953,9,12.1
1953,10,12.9
1953,11,16.5
1953,12,114.6
1954,1,139.5
1954,2,522.5
1954,3,421.8
1954,4,481.5
1954,5,398.2
1954,6,100.8
1954,7,21.6
1954,8,16.1
1954,9,26.5
1954,10,20.9
1954,11,307.1
1954,12,572.4
1955,1,274.7
1955,2,288
1955,3,1057
1955,4,268.8
1955,5,110.9
1955,6,30.9
1955,7,16.9
1955,8,39.3
1955,9,23.8
1955,10,668.2
1955,11,405.1
1955,12,160.9
1956,1,138.9
1956,2,256.1
1956,3,981.6
1956,4,1368
1956,5,258.5
1956,6,119.7
1956,7,265.8
1956,8,60.5
1956,9,205.9
1956,10,147
1956,11,172.3
1956,12,519.6
1957,1,326.6
1957,2,269.9
1957,3,430.4
1957,4,612.9
1957,5,300.3
1957,6,77.5
1957,7,62.1
1957,8,21.8
1957,9,16.5
1957,10,17.3
1957,11,41
1957,12,316.4
1958,1,227.7
1958,2,199.4
1958,3,643.2
1958,4,1756
1958,5,462.5
1958,6,204.3
1958,7,182.4
1958,8,43.7
1958,9,73.7
1958,10,107.5
1958,11,225.2
1958,12,164.2
1959,1,422.9
1959,2,227.1
1959,3,567.5
1959,4,675.9
1959,5,143.8
1959,6,48.5
1959,7,24.3
1959,8,22.1
1959,9,21.5
1959,10,166
1959,11,656.1
1959,12,625.3
1960,1,292.6
1960,2,529.5
1960,3,432
1960,4,1085
1960,5,375.7
1960,6,370.7
1960,7,58.7
1960,8,31.5
1960,9,74.8
1960,10,36.2
1960,11,59.1
1960,12,39.2
1961,1,40.6
1961,2,673.3
1961,3,726.9
1961,4,1106
1961,5,412.2
1961,6,436.4
1961,7,125.1
1961,8,139.8
1961,9,35.3
1961,10,20.3
1961,11,74.5
1961,12,128.2
1962,1,275
1962,2,85.9
1962,3,742.7
1962,4,874.9
1962,5,183.1
1962,6,40
1962,7,15.5
1962,8,14.9
1962,9,24.5
1962,10,351.1
1962,11,342.9
1962,12,160.9
1963,1,125.1
1963,2,72.9
1963,3,989.2
1963,4,528
1963,5,302.5
1963,6,149.6
1963,7,38.4
1963,8,21.5
1963,9,15.7
1963,10,11.9
1963,11,50.9
1963,12,196.1
1964,1,353.2
1964,2,122.3
1964,3,1315
1964,4,523.5
1964,5,249.5
1964,6,31.8
1964,7,17.4
1964,8,12.3
1964,9,9.64
1964,10,11
1964,11,10.5
1964,12,47.2
1965,1,125.9
1965,2,496.2
1965,3,321.3
1965,4,664.1
1965,5,180.4
1965,6,46.9
1965,7,20.2
1965,8,12.8
1965,9,12.3
1965,10,23.9
1965,11,144.9
1965,12,233.3
1966,1,204.1
1966,2,441.9
1966,3,972.4
1966,4,345.6
1966,5,367.3
1966,6,220.3
1966,7,24
1966,8,13
