Date,Flow
1926/3/25,2240
1926/11/16,5320
1927/10/19,2950
1929/4/21,3370
1930/3/8,2260
1931/3/29,1770
1932/3/31,2170
1933/8/24,1700
1934/3/27,3480
1935/7/8,15500
1936/3/18,5040
1937/4/6,1880
1937/10/29,2580
1939/2/20,4400
1940/3/31,4300
1941/4/6,3890
1942/3/17,4630
1942/12/30,5660
1944/3/17,3310
1945/3/17,2920
1946/5/28,2480
1947/6/3,5180
1948/3/17,3510
1948/11/20,2220
1950/3/28,5120
1950/12/4,3340
1952/3/11,2980
1952/12/11,3000
1954/5/4,3430
1955/3/1,2940
1956/3/7,5030
1957/1/23,1650
1958/4/6,3020
1959/1/22,4710
1960/3/30,4570
1961/2/26,4040
1962/3/12,1820
1962/10/12,3730
1964/3/5,5310
1965/2/8,1100
1966/2/14,2010
1966/11/29,1550
1968/3/23,2440
1969/6/24,3220
1970/4/3,2260
1971/3/16,2720
1972/6/23,4660
1972/12/6,2840
1974/4/5,2200
1975/9/26,5690
1976/7/11,2750
1977/2/25,5000
1977/10/17,3960
1979/3/6,4470
1980/3/22,3110
1981/2/11,2420
1981/10/28,11900
1983/4/16,2500
1984/2/15,4550
1985/2/25,1590
1986/3/15,3420
1987/4/5,1900
1988/3/26,1710
1989/5/11,2150
1990/2/16,2360
1990/10/24,3400
1992/3/27,3090
1993/4/11,4470
1994/8/18,2930
1994/11/2,3230
1996/1/19,9450
1996/11/9,5160
1998/1/8,3250
1999/3/4,2490
2000/2/28,3470
2001/4/9,2230
2002/5/13,2570
2003/4/5,1900
2004/4/14,2320
2005/4/3,6190
2005/11/30,2350
2007/3/15,3060
2008/2/6,3090
2009/3/9,1850
2010/1/25,3150
2011/9/8,4310
2012/1/27,1210
2013/8/9,3940
2014/3/30,2490
2015/4/4,2240
2016/2/25,1830
2017/7/15,3040
